territorio,geocode,estado,ano,classe,valor_pixel,area_ha
"Figueirópolis D'Oeste",5103809,MT,1991,"Afloramento Rochoso",29,479.9404
"Figueirópolis D'Oeste",5103809,MT,1991,"Pastagem",15,55956.4964
"Figueirópolis D'Oeste",5103809,MT,1991,"Área Urbanizada",24,67.1572
"Figueirópolis D'Oeste",5103809,MT,1991,"Formação Savânica",4,888.8880
"Figueirópolis D'Oeste",5103809,MT,1991,"Floresta",1,30802.3226
"Figueirópolis D'Oeste",5103809,MT,1991,"Vegetação Herbácea e Arbustiva",10,1921.8931
"Figueirópolis D'Oeste",5103809,MT,1991,"Agropecuária",14,55971.9206
"Figueirópolis D'Oeste",5103809,MT,1991,"Área não Vegetada",22,115.2461
"Figueirópolis D'Oeste",5103809,MT,1991,"Corpo D'Água",26,332.5512
"Figueirópolis D'Oeste",5103809,MT,1992,"Outras Lavouras Temporárias",41,15.5102
"Figueirópolis D'Oeste",5103809,MT,1992,"Lavoura Temporária",19,15.5102
"Figueirópolis D'Oeste",5103809,MT,1992,"Formação Campestre",12,1102.1775
"Figueirópolis D'Oeste",5103809,MT,1992,"Formação Florestal",3,25353.6165
"Figueirópolis D'Oeste",5103809,MT,1992,"Agricultura",18,15.5102
"Figueirópolis D'Oeste",5103809,MT,1992,"Rio, Lago e Oceano",33,339.8960
"Figueirópolis D'Oeste",5103809,MT,1992,"Outras Áreas não Vegetadas",25,43.6960
"Figueirópolis D'Oeste",5103809,MT,1992,"Campo Alagado e Área Pantanosa",11,342.9327
"Figueirópolis D'Oeste",5103809,MT,1992,"Floresta Alagável",6,2500.3410
"Figueirópolis D'Oeste",5103809,MT,1992,"Afloramento Rochoso",29,480.2854
"Figueirópolis D'Oeste",5103809,MT,1992,"Pastagem",15,58044.2410
"Figueirópolis D'Oeste",5103809,MT,1992,"Área Urbanizada",24,69.8774
"Figueirópolis D'Oeste",5103809,MT,1992,"Formação Savânica",4,851.3601
"Figueirópolis D'Oeste",5103809,MT,1992,"Floresta",1,28705.3176
"Figueirópolis D'Oeste",5103809,MT,1992,"Vegetação Herbácea e Arbustiva",10,1925.3956
"Figueirópolis D'Oeste",5103809,MT,1992,"Agropecuária",14,58059.7512
"Figueirópolis D'Oeste",5103809,MT,1992,"Área não Vegetada",22,113.5733
"Figueirópolis D'Oeste",5103809,MT,1992,"Corpo D'Água",26,339.8960
"Figueirópolis D'Oeste",5103809,MT,1993,"Outras Lavouras Temporárias",41,10.3405
"Figueirópolis D'Oeste",5103809,MT,1993,"Lavoura Temporária",19,10.3405
"Figueirópolis D'Oeste",5103809,MT,1993,"Formação Campestre",12,1196.3611
"Figueirópolis D'Oeste",5103809,MT,1993,"Formação Florestal",3,24393.8006
"Figueirópolis D'Oeste",5103809,MT,1993,"Agricultura",18,10.3405
"Figueirópolis D'Oeste",5103809,MT,1993,"Rio, Lago e Oceano",33,343.0333
"Figueirópolis D'Oeste",5103809,MT,1993,"Outras Áreas não Vegetadas",25,39.0359
"Figueirópolis D'Oeste",5103809,MT,1993,"Campo Alagado e Área Pantanosa",11,380.9629
"Figueirópolis D'Oeste",5103809,MT,1993,"Floresta Alagável",6,2455.3135
"Figueirópolis D'Oeste",5103809,MT,1993,"Afloramento Rochoso",29,481.1482
"Figueirópolis D'Oeste",5103809,MT,1993,"Pastagem",15,58901.5820
"Figueirópolis D'Oeste",5103809,MT,1993,"Área Urbanizada",24,72.1236
"Figueirópolis D'Oeste",5103809,MT,1993,"Formação Savânica",4,870.2322
"Figueirópolis D'Oeste",5103809,MT,1993,"Floresta",1,27719.3463
"Figueirópolis D'Oeste",5103809,MT,1993,"Vegetação Herbácea e Arbustiva",10,2058.4722
"Figueirópolis D'Oeste",5103809,MT,1993,"Agropecuária",14,58911.9225
"Figueirópolis D'Oeste",5103809,MT,1993,"Área não Vegetada",22,111.1595
"Figueirópolis D'Oeste",5103809,MT,1993,"Corpo D'Água",26,343.0333
"Figueirópolis D'Oeste",5103809,MT,1994,"Outras Lavouras Temporárias",41,9.5660
"Figueirópolis D'Oeste",5103809,MT,1994,"Lavoura Temporária",19,9.5660
"Figueirópolis D'Oeste",5103809,MT,1994,"Formação Campestre",12,1142.7097
"Figueirópolis D'Oeste",5103809,MT,1994,"Formação Florestal",3,20611.5305
