territorio,geocode,estado,ano,variavel,chave,unidade,valor
Jauru,5105002,MT,2015,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,23.243744
Jauru,5105002,MT,2016,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,16.108682
Jauru,5105002,MT,2017,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,16.912427
Jauru,5105002,MT,2018,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,13.399044
Jauru,5105002,MT,2019,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,21.272710
Jauru,5105002,MT,2020,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,30.318831
Jauru,5105002,MT,2021,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,20.439404
Jauru,5105002,MT,2022,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,19.867393
Jauru,5105002,MT,2023,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,17.378560
Jauru,5105002,MT,2024,PM10 anual,atmosphere_annual_inhalable_particulate_matter_pm10,µg/m³,53.078711
Lambari D'Oeste,5105234,MT,1985,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.456125
Lambari D'Oeste,5105234,MT,1986,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.650950
Lambari D'Oeste,5105234,MT,1987,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.761431
Lambari D'Oeste,5105234,MT,1988,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.405385
Lambari D'Oeste,5105234,MT,1989,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.074878
Lambari D'Oeste,5105234,MT,1990,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.204848
Lambari D'Oeste,5105234,MT,1991,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.416621
Lambari D'Oeste,5105234,MT,1992,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.040637
Lambari D'Oeste,5105234,MT,1993,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.613545
Lambari D'Oeste,5105234,MT,1994,Temperatura média anual do ar,atmosphere_annual_mean_air_temperature,°C,25.673491
